p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
0,2,0,2,2,0,6.0,,"(0, 2, 0)","(2, 2, 0, 12)"
0,1,0,0,2,2,6.0,,"(0, 1, 0)","(0, 2, 2, 12)"
0,0,0,0,2,2,6.0,,"(0, 0, 0)","(0, 2, 2, 12)"
0,2,0,0,2,2,6.0,,"(0, 2, 0)","(0, 2, 2, 12)"
0,1,0,2,2,0,6.0,,"(0, 1, 0)","(2, 2, 0, 12)"
0,0,0,2,2,0,6.0,-inf,"(0, 0, 0)","(2, 2, 0, 12)"
1,1,0,0,2,2,8.0,,"(1, 1, 0)","(0, 2, 2, 12)"
0,0,1,2,2,0,8.0,-inf,"(0, 0, 1)","(2, 2, 0, 12)"
0,0,1,0,2,2,8.0,,"(0, 0, 1)","(0, 2, 2, 12)"
0,2,1,2,2,0,8.0,,"(0, 2, 1)","(2, 2, 0, 12)"
0,2,1,0,2,2,8.0,,"(0, 2, 1)","(0, 2, 2, 12)"
0,1,0,2,2,1,8.0,,"(0, 1, 0)","(2, 2, 1, 12)"
0,2,0,1,2,2,8.0,,"(0, 2, 0)","(1, 2, 2, 12)"
0,0,0,2,2,1,8.0,-inf,"(0, 0, 0)","(2, 2, 1, 12)"
0,0,0,1,2,2,8.0,,"(0, 0, 0)","(1, 2, 2, 12)"
0,1,1,2,2,0,8.0,,"(0, 1, 1)","(2, 2, 0, 12)"
0,1,1,0,2,2,8.0,,"(0, 1, 1)","(0, 2, 2, 12)"
1,2,0,0,2,2,8.0,,"(1, 2, 0)","(0, 2, 2, 12)"
0,1,0,1,2,2,8.0,,"(0, 1, 0)","(1, 2, 2, 12)"
1,0,0,0,2,2,8.0,,"(1, 0, 0)","(0, 2, 2, 12)"
1,2,0,2,2,0,8.0,,"(1, 2, 0)","(2, 2, 0, 12)"
1,0,0,2,2,0,8.0,,"(1, 0, 0)","(2, 2, 0, 12)"
0,2,0,2,2,1,8.0,,"(0, 2, 0)","(2, 2, 1, 12)"
1,1,0,2,2,0,8.0,,"(1, 1, 0)","(2, 2, 0, 12)"
0,2,2,0,2,2,10.0,,"(0, 2, 2)","(0, 2, 2, 12)"
1,1,0,1,2,2,10.0,,"(1, 1, 0)","(1, 2, 2, 12)"
2,0,0,2,2,0,10.0,,"(2, 0, 0)","(2, 2, 0, 12)"
0,2,2,2,2,0,10.0,,"(0, 2, 2)","(2, 2, 0, 12)"
0,0,1,2,2,1,10.0,-inf,"(0, 0, 1)","(2, 2, 1, 12)"
0,0,2,2,2,0,10.0,-inf,"(0, 0, 2)","(2, 2, 0, 12)"
1,0,0,2,2,1,10.0,,"(1, 0, 0)","(2, 2, 1, 12)"
0,0,1,1,2,2,10.0,,"(0, 0, 1)","(1, 2, 2, 12)"
0,1,0,2,2,2,10.0,,"(0, 1, 0)","(2, 2, 2, 12)"
2,1,0,0,2,2,10.0,,"(2, 1, 0)","(0, 2, 2, 12)"
1,0,0,1,2,2,10.0,,"(1, 0, 0)","(1, 2, 2, 12)"
2,2,0,2,2,0,10.0,,"(2, 2, 0)","(2, 2, 0, 12)"
0,1,1,1,2,2,10.0,,"(0, 1, 1)","(1, 2, 2, 12)"
0,2,1,2,2,1,10.0,,"(0, 2, 1)","(2, 2, 1, 12)"
1,0,1,2,2,0,10.0,,"(1, 0, 1)","(2, 2, 0, 12)"
2,2,0,0,2,2,10.0,,"(2, 2, 0)","(0, 2, 2, 12)"
1,0,1,0,2,2,10.0,,"(1, 0, 1)","(0, 2, 2, 12)"
0,0,2,0,2,2,10.0,,"(0, 0, 2)","(0, 2, 2, 12)"
